Re,Ar,Lm,Theta
1044,3069,17,34.6
1199,450,11.5,33.92
1199,432,16.27,34
1463,115,9.375,38.22
1481,35006,14,27.97
1684,1146,10.9,31.11
2292,40120,8.2,27.21
2386,7200,6.4,28.52
2401,23120,9.1,28.1
2649,100,8.1,36.2
2664,4029,7.5,27.6
2796,450,5.6,29.8
2796,494.2,4.9,26.8
2796,494,2,31
3028,35006,7.5,23.6
3773,296450,7.3,19.3
4437,23120,6.8,26.5
4525,1147,3.8,27.7
4547,35006,4.6,23.18
5592,41700,3.3,23.93
5632,249000,4.6,23.2
5632,23120,5.2,23.61
5877,98710,5,23.45
6119,450,2.8,27.16
6119,432.1,2.8,26.65
6857,100.7,2.2,24.91
7130,3661,2.5,23.45
7263,92920,2.8,24.08
7500,583200,3.5,17.72
7800,15700,2.6,23.8
7889,8158,2.1,21.67
8100,41700,2.1,27.9
8212,9331,1.5,21.84
8900,15700,1.6,25.3
9050,3647,1.3,26.4
9500,432.2,1.2,22.8
9800,1142,1,24.59
10250,41700,1.2,27.34
10770,3647,0.8,26.82
11130,450,0.8,26.16
11130,432.1,0.6,26.16
11900,0,0.5,28.14
12250,15710,0.5,23.4
12800,35006,2,22.91
12800,35010,0.9,22.61
13230,47700,0.6,22.7
13310,249000,0.5,25.65
13600,1312,0.6,26.74
