Re,Ar,Lm,Theta
8100,41700,2.1,27.9
7800,15700,2.6,23.8
7889,8158,2.1,21.67
8212,9331,1.5,21.84
8900,15700,1.6,25.3
9050,3647,1.3,26.4
9500,432.2,1.2,22.8
9800,1142,1,24.59
10250,41700,1.2,27.34
10770,3647,0.8,26.82
11130,432.1,0.6,26.16
13310,249000,0.5,25.65
13600,1312,0.6,26.74
12250,15710,0.5,23.4
13230,47700,0.6,22.7
12800,35010,0.9,22.61
2649,100,8.1,36.2
1463,115,9.375,38.22
2796,494,2,31
1199,432,16.27,34
5877,98710,5,23.45
5632,23120,5.2,23.61
4437,23120,6.8,26.5
2401,23120,9.1,28.1
1684,1146,10.9,31.11
1044,3069,17,34.6
2664,4029,7.5,27.6
2292,40120,8.2,27.21
2052,450,9.2,31.5
8662,450,1.2,26.62
2245,35000,9.8,25.6
3808,35000,6.1,23.42
7852,35000,3.1,23
2452,100,8.5,36.5
1672,115,9.21,38.1
2569,494,2.8,31.5
1499,432,11.54,32.85
5246,98710,5.7,23.8
5287,23120,5.98,24.05
3211,23120,7.9,26.9
2350,23120,9.8,28.6
1578,1146,11.2,31.6
1089,3069,16.5,34.4
2774,4029,7.1,27.2
2515,40120,7.8,26.9
3500,296450,7,21
7100,583200,3.7,18.8
2569,494.2,5.2,27.1
4205,1147,3.9,27.9
6425,432.1,2.5,26.2
5880,41700,3.1,23.8
6141,249000,4.1,23
6985,3661,2.7,23.6
7529,92920,2.5,23.9
7336,100.7,1.8,24.6
8841,41700,1.5,25.6
7252,15700,2.9,24.1
7626,8158,2.2,22.1
8448,9331,1.1,22.5
9502,15700,1.3,24.8
9365,3647,1.2,25.8
9843,432.2,1,23.5
9985,1142,1,24.2
10502,41700,1.1,26.8
10984,3647,0.7,25.7
11624,432.1,0.6,25.9
4263,35006,4.8,23.8
13105,35006,1.2,23.6
2536,7200,5.9,28.2
3974,296450,6.9,21
2985,494.2,4.2,26.4
1199,450,11.5,33.92
2796,450,5.6,29.8
6119,450,2.8,27.16
11130,450,0.8,26.16
1481,35006,14,27.97
3028,35006,7.5,23.6
4547,35006,4.6,23.18
12800,35006,2,22.91
2386,7200,6.4,28.52
3773,296450,7.3,19.3
7500,583200,3.5,17.72
2796,494.2,4.9,26.8
4525,1147,3.8,27.7
6119,432.1,2.8,26.65
5592,41700,3.3,23.93
5632,249000,4.6,23.2
7130,3661,2.5,23.45
7263,92920,2.8,24.08
6857,100.7,2.2,24.91
8100,41700,2.1,27.9
7800,15700,2.6,23.8
7889,8158,2.1,21.67
8212,9331,1.5,21.84
8900,15700,1.6,25.3
9050,3647,1.3,26.4
9500,432.2,1.2,22.8
9800,1142,1,24.59
10250,41700,1.2,27.34
10770,3647,0.8,26.82
11130,432.1,0.6,26.16
13310,249000,0.5,25.65
13600,1312,0.6,26.74
12250,15710,0.5,23.4
13230,47700,0.6,22.7
12800,35010,0.9,22.61
2649,100,8.1,36.2
1463,115,9.375,38.22
2796,494,2,31
1199,432,16.27,34
5877,98710,5,23.45
5632,23120,5.2,23.61
4437,23120,6.8,26.5
2401,23120,9.1,28.1
1684,1146,10.9,31.11
1044,3069,17,34.6
2664,4029,7.5,27.6
2292,40120,8.2,27.21
