Re,Ar,Lm,Theta
797,1,16.88,50.2
1055,1,12.33,47.5
1139,1,11.32,46.62
1307,1,9.7,46
1816,1,6.7,44
1981,1,6.1,43.5
2258,1,5.26,41.99
2592,1,4.51,41.5
2666,1,4.4,41.2
2897,1,3.98,40.5
3082,1,3.7,38.4
3434,1,3.3,37.56
4362,1,2.52,35.64
800,1,16.5,50.1
1050,1,11.5,47.5
1400,1,7,45.6
1800,1,5.3,44
2000,1,3.5,42.66
1600,1,7.5,45.2
3002.3,1,4,38.5
987.7,1,10.6,48.2
955.3,1,14.65,48.6
717.5,1,19.1,50.2
1739.3,1,6.9,44
1050,1,11.6,47.5
3446.3,1,3.3,37.5
4045.2,1,2.5,36
2732.1,1,5.9,40.8
1303.3,1,8.7,46
820,1,15.6,50.2
900,1,18,49.5
1980,1,8.56,42.7
1139,1,12.3,46.62
8100,41700,2.1,27.9
7800,15700,2.6,23.8
7889,8158,2.1,21.67
8212,9331,1.5,21.84
8900,15700,1.6,25.3
9050,3647,1.3,26.4
9500,432.2,1.2,22.8
9800,1142,1,24.59
10250,41700,1.2,27.34
10770,3647,0.8,26.82
11130,432.1,0.6,26.16
11900,1,0.5,28.14
13310,249000,0.5,25.65
13600,1312,0.6,26.74
12250,15710,0.5,23.4
13230,47700,0.6,22.7
12800,35010,0.9,22.61
2649,100,8.1,36.2
1463,115,9.375,38.22
2796,494,2,31
1199,432,16.27,34
5877,98710,5,23.45
5632,23120,5.2,23.61
4437,23120,6.8,26.5
2401,23120,9.1,28.1
1684,1146,10.9,31.11
1044,3069,17,34.6
2664,4029,7.5,27.6
2292,40120,8.2,27.21
2052,450,9.2,31.5
8662,450,1.2,26.62
2245,35000,9.8,25.6
3808,35000,6.1,23.42
7852,35000,3.1,23
4862,1,2.0158,32.64
5218,1,1.9221,28.822
7725,1,1.316,24.3
8824,1,1.11,24.8
9805,1,1.02,25.4
11254,1,0.8748,25.9
13578,1,0.71,25.1
14241,1,0.68,24.6
2452,100,8.5,36.5
1672,115,9.21,38.1
2569,494,2.8,31.5
1499,432,11.54,32.85
5246,98710,5.7,23.8
5287,23120,5.98,24.05
3211,23120,7.9,26.9
2350,23120,9.8,28.6
1578,1146,11.2,31.6
1089,3069,16.5,34.4
2774,4029,7.1,27.2
2515,40120,7.8,26.9
3500,296450,7,21
7100,583200,3.7,18.8
2569,494.2,5.2,27.1
4205,1147,3.9,27.9
6425,432.1,2.5,26.2
5880,41700,3.1,23.8
6141,249000,4.1,23
6985,3661,2.7,23.6
7529,92920,2.5,23.9
7336,100.7,1.8,24.6
8841,41700,1.5,25.6
7252,15700,2.9,24.1
7626,8158,2.2,22.1
8448,9331,1.1,22.5
9502,15700,1.3,24.8
9365,3647,1.2,25.8
9843,432.2,1,23.5
9985,1142,1,24.2
10502,41700,1.1,26.8
10984,3647,0.7,25.7
11624,432.1,0.6,25.9
11782,1,0.5,26.5
4263,35006,4.8,23.8
13105,35006,1.2,23.6
2536,7200,5.9,28.2
3974,296450,6.9,21
2985,494.2,4.2,26.4
1303.3,1,8.7,46
820,1,15.6,50.2
900,1,18,49.5
1980,1,8.56,42.7
1139,1,12.3,46.62
2666,1,6.92,41.2
3434.8,1,3.9,37.56
4362,1,2.87,35.64
820.3,1,13.5,50.2
797.3,1,13.7,50.1
638.3,1,18.3,50.28
2897,1,3.9787,40.5
3082,1,3.7122,38.4
3434,1,3.2887,37.56
4362,1,2.5158,35.64
5818,1,1.8221,27.22
7015,1,1.4776,24.5
8524,1,1.188,23.98
9232,1,1.0864,25.2
10170,1,0.9748,26.1
12590,1,0.7675,26.57
14500,1,0.6552,24.8
1199,450,11.5,33.92
2796,450,5.6,29.8
6119,450,2.8,27.16
11130,450,0.8,26.16
1481,35006,14,27.97
3028,35006,7.5,23.6
4547,35006,4.6,23.18
12800,35006,2,22.91
2386,7200,6.4,28.52
3773,296450,7.3,19.3
7500,583200,3.5,17.72
2796,494.2,4.9,26.8
4525,1147,3.8,27.7
6119,432.1,2.8,26.65
5592,41700,3.3,23.93
5632,249000,4.6,23.2
7130,3661,2.5,23.45
7263,92920,2.8,24.08
6857,100.7,2.2,24.91
8100,41700,2.1,27.9
7800,15700,2.6,23.8
7889,8158,2.1,21.67
8212,9331,1.5,21.84
8900,15700,1.6,25.3
9050,3647,1.3,26.4
9500,432.2,1.2,22.8
9800,1142,1,24.59
10250,41700,1.2,27.34
10770,3647,0.8,26.82
11130,432.1,0.6,26.16
11900,1,0.5,28.14
13310,249000,0.5,25.65
13600,1312,0.6,26.74
12250,15710,0.5,23.4
13230,47700,0.6,22.7
12800,35010,0.9,22.61
2649,100,8.1,36.2
1463,115,9.375,38.22
2796,494,2,31
1199,432,16.27,34
5877,98710,5,23.45
5632,23120,5.2,23.61
4437,23120,6.8,26.5
2401,23120,9.1,28.1
1684,1146,10.9,31.11
1044,3069,17,34.6
2664,4029,7.5,27.6
2292,40120,8.2,27.21
