Re,Lm
638.3,18.3
717.5,19.1
797,16.88
797.3,13.7
800,16.5
820,15.6
820.3,13.5
900,18
955.3,14.65
987.7,10.6
1050,11.5
1050,11.6
1055,12.33
1139,11.32
1139,12.3
1303.3,8.7
1307,9.7
1400,7
1600,7.5
1739.3,6.9
1800,5.3
1816,6.7
1980,8.56
1981,6.1
2000,3.5
2258,5.26
2592,4.51
2666,4.4
2666,6.92
2732.1,5.9
2897,3.98
2897,3.9787
3002.3,4
3082,3.7
3082,3.7122
3434,3.3
3434,3.2887
3434.8,3.9
3446.3,3.3
4045.2,2.5
4362,2.52
4362,2.87
4362,2.5158
5818,1.8221
7015,1.4776
8524,1.188
9232,1.0864
10170,0.9748
12590,0.7675
14500,0.6552
